organization_name,organization_type,ticker_symbol,city,state,fortune_rank,industry_sector,estimated_min_sponsorship,estimated_max_sponsorship,estimated_typical_sponsorship,sponsorship_likelihood_score,arts_education_potential,email,website,mission,data_source,created_at,geographic_priority
United Systems Inc.,corporation,UNIT,Tupelo,MS,39,Technology,14430,1443000,277633,94,High,partnerships@united.com,https://www.united.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674443,Medium
First Tech Group,corporation,FITE,Lakewood,CO,40,Technology,14415,1441500,277056,86,High,community@firsttech.com,https://www.firsttech.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674452,High
International Data Corporation,corporation,INDA,Kansas City,KS,41,Technology,14400,1440000,276480,86,High,community@internationalda.com,https://www.internationalda.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674463,Medium
American Cyber Holdings,corporation,AMCY,Dickinson,ND,42,Technology,14385,1438500,275904,95,High,community@americancyber.com,https://www.americancyber.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674473,Medium
American Software Systems,corporation,AMSO,Monroe,LA,43,Technology,14370,1437000,275329,89,High,giving@americansoftwar.com,https://www.americansoftwar.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674483,Medium
Global Cyber Inc.,corporation,GLCY,Hagerstown,MD,44,Technology,14355,1435500,274754,95,High,partnerships@globalcyber.com,https://www.globalcyber.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674492,Medium
American Cyber Company,corporation,AMCY,Kodiak,AK,45,Technology,14340,1434000,274180,88,High,giving@americancyber.com,https://www.americancyber.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674502,Medium
International Digital Enterprises,corporation,INDI,Jonesboro,AR,46,Technology,14325,1432500,273607,93,High,social@internationaldi.com,https://www.internationaldi.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674513,Medium
First Systems Inc.,corporation,FIRS,Concord,NH,47,Technology,14310,1431000,273034,92,High,giving@first.com,https://www.first.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674522,Medium
American Tech LLC,corporation,AMTE,Macon,GA,48,Technology,14295,1429500,272462,94,High,partnerships@americantech.com,https://www.americantech.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674531,Medium
Global Solutions Holdings,corporation,GLSO,Stamford,CT,49,Technology,14280,1428000,271891,91,High,social@globalsolutions.com,https://www.globalsolutions.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674543,Medium
Summit Data Company,corporation,SUDA,Joliet,IL,50,Technology,14265,1426500,271320,90,High,impact@summitdata.com,https://www.summitdata.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674554,High
Parkersburg Cloud Inc.,corporation,PACL,Alexandria,VA,51,Technology,14250,1425000,270750,89,High,social@parkersburgclou.com,https://www.parkersburgclou.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674578,Medium
Boston Digital Group,corporation,BODI,Montpelier,VT,52,Technology,14235,1423500,270180,93,High,social@bostondigital.com,https://www.bostondigital.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674595,Medium
Montgomery Solutions Holdings,corporation,MOSO,Mililani Town,HI,53,Technology,14220,1422000,269611,86,High,impact@montgomerysolut.com,https://www.montgomerysolut.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674612,Medium
DE Data Company,corporation,DEDA,Portland,ME,54,Technology,14205,1420500,269042,85,High,community@dedata.com,https://www.dedata.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674628,Medium
RI Systems LLC,corporation,RI,Caldwell,ID,55,Technology,14190,1419000,268474,91,High,social@ri.com,https://www.ri.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674643,Medium
Bangor Digital Group,corporation,BADI,Lake Charles,LA,56,Technology,14175,1417500,267907,89,High,impact@bangordigital.com,https://www.bangordigital.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674660,Medium
Columbus Cyber LLC,corporation,COCY,Fayetteville,NC,57,Technology,14160,1416000,267340,88,High,partnerships@columbuscyber.com,https://www.columbuscyber.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674676,Medium
CO Cyber Enterprises,corporation,COCY,Bridgeport,CT,58,Technology,14145,1414500,266774,86,High,giving@cocyber.com,https://www.cocyber.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674695,Medium
Tucson Solutions Enterprises,corporation,TUSO,Nashua,NH,59,Technology,14130,1413000,266209,92,High,impact@tucsonsolutions.com,https://www.tucsonsolutions.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674712,Medium
Augusta Cloud Holdings,corporation,AUCL,Owensboro,KY,60,Technology,14115,1411500,265644,94,High,social@augustacloud.com,https://www.augustacloud.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674730,Medium
Nashua Software Corporation,corporation,NASO,Lansing,MI,61,Technology,14100,1410000,265080,88,High,social@nashuasoftware.com,https://www.nashuasoftware.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674746,Medium
Gulfport Digital Company,corporation,GUDI,Saco,ME,62,Technology,14085,1408500,264516,90,High,community@gulfportdigital.com,https://www.gulfportdigital.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674763,Medium
Essex Data Company,corporation,ESDA,Fargo,ND,63,Technology,14070,1407000,263953,92,High,partnerships@essexdata.com,https://www.essexdata.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674779,Medium
Augusta Systems Systems,corporation,AUGU,New Britain,CT,64,Technology,14055,1405500,263390,93,High,giving@augusta.com,https://www.augusta.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674795,Medium
VA Cyber Systems,corporation,VACY,Bloomington,MN,65,Technology,14040,1404000,262828,92,High,partnerships@vacyber.com,https://www.vacyber.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674810,Medium
Gulfport Solutions Enterprises,corporation,GUSO,Gulfport,MS,66,Technology,14025,1402500,262267,85,High,partnerships@gulfportsolutio.com,https://www.gulfportsolutio.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674827,Medium
Dallas Cyber Corporation,corporation,DACY,Wasilla,AK,67,Technology,14010,1401000,261706,92,High,social@dallascyber.com,https://www.dallascyber.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674843,Medium
Fort Wayne Data Company,corporation,FOWA,Phoenix,AZ,68,Technology,13995,1399500,261146,87,High,social@fortwaynedata.com,https://www.fortwaynedata.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674861,Medium
Madison Solutions Corporation,corporation,MASO,Auburn,AL,69,Technology,13980,1398000,260587,85,High,impact@madisonsolution.com,https://www.madisonsolution.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674879,Medium
Spokane Digital Company,corporation,SPDI,Grand Forks,ND,70,Technology,13965,1396500,260028,84,High,giving@spokanedigital.com,https://www.spokanedigital.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674895,Medium
Birmingham Systems Systems,corporation,BIRM,Minot,ND,71,Technology,13950,1395000,259470,91,High,impact@birmingham.com,https://www.birmingham.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674912,Medium
Huntington Systems Group,corporation,HUNT,North Platte,NE,72,Technology,13935,1393500,258912,83,High,partnerships@huntington.com,https://www.huntington.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674928,Medium
WV Data Company,corporation,WVDA,Edmond,OK,73,Technology,13920,1392000,258355,85,High,giving@wvdata.com,https://www.wvdata.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674944,Medium
Milwaukee Digital Enterprises,corporation,MIDI,Woodbridge,NJ,74,Technology,13905,1390500,257798,86,High,community@milwaukeedigita.com,https://www.milwaukeedigita.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674961,Medium
CO Software Company,corporation,COSO,Provo,UT,75,Technology,13890,1389000,257242,83,High,social@cosoftware.com,https://www.cosoftware.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674976,Medium
Bangor Software Corporation,corporation,BASO,Fort Smith,AR,76,Technology,13875,1387500,256687,88,High,community@bangorsoftware.com,https://www.bangorsoftware.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.674992,Medium
Fayetteville Data Inc.,corporation,FADA,Long Beach,CA,77,Technology,13860,1386000,256132,86,High,giving@fayettevilledat.com,https://www.fayettevilledat.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675009,High
Wichita Software Inc.,corporation,WISO,Bridgeport,CT,78,Technology,13845,1384500,255578,87,High,giving@wichitasoftware.com,https://www.wichitasoftware.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675025,Medium
Houston Solutions LLC,corporation,HOSO,Kenai,AK,79,Technology,13830,1383000,255025,85,High,giving@houstonsolution.com,https://www.houstonsolution.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675042,Medium
WY Software Enterprises,corporation,WYSO,Scottsdale,AZ,80,Technology,13815,1381500,254472,82,High,impact@wysoftware.com,https://www.wysoftware.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675058,Medium
Rochester Tech Inc.,corporation,ROTE,Dover,NH,81,Technology,13800,1380000,253920,84,High,giving@rochestertech.com,https://www.rochestertech.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675075,Medium
Huntington Software Group,corporation,HUSO,St. Cloud,MN,82,Technology,13785,1378500,253368,86,High,partnerships@huntingtonsoftw.com,https://www.huntingtonsoftw.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675091,Medium
Bangor Systems Corporation,corporation,BANG,Huntington,WV,83,Technology,13770,1377000,252817,90,High,giving@bangor.com,https://www.bangor.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675106,Medium
GA Solutions Enterprises,corporation,GASO,Lake Charles,LA,84,Technology,13755,1375500,252266,91,High,partnerships@gasolutions.com,https://www.gasolutions.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675122,Medium
Concord Tech LLC,corporation,COTE,Nampa,ID,85,Technology,13740,1374000,251716,88,High,giving@concordtech.com,https://www.concordtech.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675142,Medium
Detroit Data Enterprises,corporation,DEDA,Bend,OR,86,Technology,13725,1372500,251167,90,High,partnerships@detroitdata.com,https://www.detroitdata.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675158,Medium
Lexington Cyber Company,corporation,LECY,Chesapeake,VA,87,Technology,13710,1371000,250618,88,High,partnerships@lexingtoncyber.com,https://www.lexingtoncyber.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675174,Medium
Virginia Beach Systems Holdings,corporation,VIBE,Billings,MT,88,Technology,13695,1369500,250070,87,High,social@virginiabeach.com,https://www.virginiabeach.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675191,Medium
HI Systems Inc.,corporation,HI,Flint,MI,89,Technology,13680,1368000,249523,85,High,giving@hi.com,https://www.hi.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675208,Medium
Cincinnati Systems Corporation,corporation,CINC,Tallahassee,FL,90,Technology,13665,1366500,248976,88,High,giving@cincinnati.com,https://www.cincinnati.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675225,High
AK Cyber LLC,corporation,AKCY,Newark,NJ,91,Technology,13650,1365000,248430,89,High,giving@akcyber.com,https://www.akcyber.com,Empowering innovation through cutting-edge technology solutions that transform how businesses operate and communities thrive.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675241,Medium
Rio Rancho Solutions Enterprises,corporation,RIRA,Shreveport,LA,92,Technology,13635,1363500,247884,82,High,community@rioranchosoluti.com,https://www.rioranchosoluti.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675259,Medium
Warwick Digital Holdings,corporation,WADI,Nashville,TN,93,Technology,13620,1362000,247339,81,High,partnerships@warwickdigital.com,https://www.warwickdigital.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675275,Medium
Cranston Digital LLC,corporation,CRDI,Auburn,AL,94,Technology,13605,1360500,246794,81,High,impact@cranstondigital.com,https://www.cranstondigital.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675291,Medium
East Honolulu Data Company,corporation,EAHO,Appleton,WI,95,Technology,13590,1359000,246250,81,High,giving@easthonoluludat.com,https://www.easthonoluludat.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675308,Medium
Cranston Cyber Enterprises,corporation,CRCY,Hoover,AL,96,Technology,13575,1357500,245707,87,High,community@cranstoncyber.com,https://www.cranstoncyber.com,Connecting people and possibilities through advanced technology platforms that drive digital transformation.,Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675323,Medium
Rockville Systems Company,corporation,ROCK,South Bend,IN,97,Technology,13560,1356000,245164,81,High,giving@rockville.com,https://www.rockville.com,"Building the future of technology with solutions that enhance productivity, creativity, and human potential.",Comprehensive Fortune 1000 Analysis,2025-10-26T20:43:29.675339,Medium
